date,sport,game,pick,market,line,odds_american,result,confidence,reasoning
2025-11-20T00:00:00+00:00,NBA,Charlotte Hornets @ Indiana Pacers,Under,totals,238.5,-112,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both offer the 238.5 total with similar Under pricing (Consensus Source 1 -115 vs Sportsbook -112), indicating consensus and a small price edge. No Kalshi sentiment is present."
2025-11-20T00:00:00+00:00,NBA,Houston Rockets @ Cleveland Cavaliers,Under,totals,234.5,-110,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both list the 234.5 total at -110, showing strong market agreement on the Under. Odds are within the allowed range and no Kalshi sentiment is available."
2025-11-20T00:00:00+00:00,NBA,Houston Rockets @ Cleveland Cavaliers,Over,totals,234.5,-110,Pending,⭐⭐⭐⭐,"DraftKings sample_odds shows Houston @ Cleveland Over 234.5 at -110 (sample_odds entry). Oddsshark's expert_consensus includes 'O 234.5' with odds_american -110 for Houston @ Cleveland (extra_context expert_consensus entry, extraction_date 2025-11-19T22:29:00.064491+00:00). Identical line and identical odds across DraftKings and Oddsshark produce a clear two-source agreement, meriting a 4-star confidence per the consensus rules. Kalshi sentiment is not available in the context, so no sentiment-based adjustment. NCAAB/NCAAF ranking rules do not apply."
2025-11-20T00:00:00+00:00,NBA,Charlotte Hornets @ Indiana Pacers,Over,totals,238.5,-108,Pending,⭐⭐⭐⭐,"DraftKings sample_odds lists Charlotte @ Indiana Over 238.5 at -108 (sample_odds entry). Oddsshark's expert_consensus explicitly includes 'O 238.5' for Charlotte @ Indiana with odds_american -105 (extra_context expert_consensus entry, extraction_date 2025-11-19T22:29:00.068043+00:00). Both sources list the Over at the same line (238.5) with near-identical odds, giving a two-source agreement which per the consensus weighting yields a +1 star boost — assigned here as 4-star confidence. Kalshi sentiment data is not present in the provided context, so no Kalshi boost was applied. NCAAB/NCAAF ranking rules are not applicable (NBA game)."
2025-11-19T23:00:00+00:00,NCAAB,Alabama St Hornets @ Air Force Falcons,Under,totals,138.5,-115,Pending,⭐⭐⭐⭐,"DraftKings sample odds list Under 138.5 at -115 for Alabama State @ Air Force (sample_odds entry with commence_time 2025-11-19T23:00:00+00:00). The extra_context expert_consensus includes an oddsshark extraction for the same game and market: 'U 138.5' with odds_american -115 (oddsshark expert_consensus entry). Both DraftKings and oddsshark explicitly match on market and line → 2-source agreement, which per consensus weighting yields a +1 star boost (qualified as a 4-star pick). Kalshi sentiment is not present in the context so no additional sentiment support is available. No AP/Coaches/CBS ranking data are provided for this matchup in the context, so no ranking-based boost applies."
2025-11-19T23:30:00+00:00,NCAAB,Harvard Crimson @ Penn State Nittany Lions,Under,totals,143.5,-108,Pending,⭐⭐⭐⭐,"DraftKings sample odds show Under 143.5 at -108 for Harvard @ Penn State (sample_odds entry with commence_time 2025-11-19T23:30:00+00:00). The extra_context expert_consensus includes an oddsshark extraction for the same market and line: 'U 143.5' (oddsshark entry lists odds_american -110). DraftKings and oddsshark both explicitly reference Under 143.5 → 2-source agreement, producing a 4-star confidence under the consensus rules. Kalshi sentiment data are not present in the provided context, so no sentiment boost applies. No team ranking data (AP/Coaches/CBS) are included for this matchup in the context, so no ranking adjustment was applied."
2025-11-20T00:00:00+00:00,NCAAF,Central Michigan Chippewas @ Kent State Golden Flashes,Under,totals,50.5,-112,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both recommend Under 50.5 with aligned lines/odds, producing a two-source consensus and a confidence boost. No Kalshi sentiment or ranking information was provided to further alter the rating."
2025-11-20T00:00:00+00:00,NCAAF,Miami (OH) RedHawks @ Buffalo Bulls,Under,totals,38.5,-110,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both list Under 38.5 with matching lines/odds, giving a two-source agreement and a confidence boost. No Kalshi sentiment or team ranking data is available for additional adjustment."
2025-11-20T00:00:00+00:00,NCAAF,Miami (OH) RedHawks @ Buffalo Bulls,Under,totals,38.5,-108,Pending,⭐⭐⭐,"Source agreement: oddsshark explicitly recommends the total U 38.5 (expert_consensus entry: market=total, line='U 38.5', odds_american=-105, extraction_date=2025-11-19T21:49:02.830377+00:00). Context book odds in the provided sample_odds also show Under 38.5 at -108, so the market recommendation from oddsshark aligns with the available book price. Consensus strength: single reputable expert source (oddsshark) recommending Under combined with current book pricing alignment gives a baseline 3-star pick per rules (1 source). Kalshi: no Kalshi sentiment data present in the context, so no Kalshi boost. Rankings/matchup: no AP/Coaches/CBS rankings present in the context for this game, so no ranking boost available. Validation: commence_time is in the future and odds are within the allowed range."
2025-11-21T01:15:00+00:00,NFL,Buffalo Bills @ Houston Texans,Over,totals,43.5,-105,Pending,⭐⭐⭐⭐,"Consensus Source 1 and Sportsbook both indicate the 43.5 total with lean toward the Over (Sportsbook -105 vs Consensus Source 1 -110), providing mild value on the Over; this 2-source agreement boosts confidence. No Kalshi sentiment available; ranking boosts not applicable for NFL."
